DATE,TIME,COMPANY NAME,MARKET,SECTOR,STOCK CODE,CHANGE,PERCENTAGE CHANGE,VOLUME,BUY VOLUME,BUY,SELL,SELL VOLUME,LACP,OPEN,HIGH,LOW
9/25/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,-0.01,-0.31,186,82,3.19,3.2,2428,3.21,3.21,3.21,3.2
9/26/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,1040,44,3.19,3.2,1610,3.2,3.2,3.2,3.2
9/27/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0.06,1.88,80,2,3.2,3.26,20,3.2,3.2,3.26,3.2
9/28/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,-0.03,-0.95,528,103,3.14,3.17,50,3.17,3.18,3.18,3.14
9/29/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0.01,0.32,125,55,3.15,3.19,15,3.14,3.14,3.15,3.13
10/2/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,598,10,3.14,3.15,1520,3.15,3.17,3.17,3.15
10/3/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,-0.01,-0.32,80,20,3.14,3.19,45,3.15,3.15,3.15,3.14
10/4/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,-0.04,-1.27,438,15,3.09,3.1,1592,3.14,3.15,3.15,3.1
10/5/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,700,136,3.09,3.1,1210,3.1,3.12,3.12,3.09
10/6/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,-0.02,-0.65,1476,49,3.08,3.09,20,3.1,3.1,3.1,3.08
10/9/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,-0.02,-0.65,2063,95,3.06,3.15,5,3.08,3.08,3.08,3.06
10/10/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0.01,0.33,25,50,3.08,3.19,22,3.06,3.07,3.08,3.07
10/11/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,0,100,3.06,3.19,4,3.07,3.1,3.1,3.1
10/12/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,950,150,3.06,3.07,100,3.07,3.07,3.09,3.07
10/13/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,-0.02,-0.65,960,290,3.05,3.1,118,3.07,3.07,3.07,3.05
10/16/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,876,346,3.04,3.05,244,3.05,3.07,3.07,3.05
10/17/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0.05,1.64,259,43,3.07,3.2,49,3.05,3.05,3.1,3.05
10/18/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,0,0,0,0,0,3.05,3.1,3.1,3.1
10/19/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,0,0,0,0,0,3.1,3.1,3.1,3.1
10/20/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,-0.05,-1.61,1314,157,3.04,3.05,4165,3.1,3.07,3.07,3.05
10/23/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,0,0,0,0,0,3.05,3.05,3.1,3.1
10/24/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,0,0,0,0,0,3.04,3.08,3.08,3.04
10/25/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,0,0,0,0,0,3.05,3.05,3.15,3.05
10/26/2017,5.00 pm,ASIA FILE CORPARATION Berhad,MAIN MARKET,CONSUMER PRODUCT,7129,0,0,0,28,3.04,3.15,290,3.05,3.04,3.05,3.03
