DATE,TIME,COMPANY NAME,MARKET,SECTOR,STOCK CODE,CHANGE,PERCENTAGE CHANGE,LACP,OPEN,HIGH,LOW
9/18/2017,4.59 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,-0.26,-1.72,15.16,15.16,15.16,14.9
9/19/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,0.08,0.54,14.8,14.82,14.88,14.76
9/20/2017,5:00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,-0.02,-0.13,14.88,14.9,14.9,14.78
9/21/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,0,0,14.86,14.92,14.92,14.8
9/22/2017,5.00PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,0,0,14.86,14.86,14.86,14.86
9/25/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,-0.08,-0.54,14.86,14.8,14.84,14.74
9/26/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,-0.02,-0.14,14.78,14.78,14.78,14.76
9/27/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,0.02,0.14,14.76,14.76,14.8,14.6
9/28/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,-0.08,-0.54,14.78,14.7,14.74,14.7
9/29/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,0,0,14.7,14.96,14.96,14.7
10/2/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,0.02,0.14,14.84,14.84,14.86,14.76
10/3/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,0.02,0.14,14.86,14.82,14.92,14.8
10/4/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,-0.04,-0.27,14.88,14.8,14.88,14.8
10/5/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,0.04,0.27,14.84,14.88,14.9,14.7
10/6/2017,5.00 PM,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN MARKET,CONSUMER,2836,0.04,0.27,14.88,14.92,14.92,14.8
