DATE,TIME,COMPANY NAME,MARKET,SECTOR,STOCK CODE,CHANGE,PERCENTAGE CHANGE,LACP,OPEN,HIGH,LOW
9/19/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.44,2.27,2.25,2.3,2.25
9/20/2017,5:00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.03,1.32,2.28,2.3,2.32,2.3
9/21/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.43,2.31,2.31,2.38,2.31
9/25/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.04,-1.72,2.32,2.28,2.28,2.28
9/26/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.07,-3.07,2.28,2.22,2.22,2.21
9/27/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.45,2.21,2.22,2.22,2.22
9/28/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.45,2.22,2.21,2.21,2.21
9/29/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.45,2.21,2.2,2.21,2.2
10/2/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.46,2.2,2.21,2.21,2.21
10/3/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.45,2.21,2.21,2.21,2.2
10/4/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0,0,2.2,2.2,2.2,2.2
10/5/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0,0,2.2,2.2,2.2,2.2
10/6/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,0.01,0.46,2.2,2.21,2.21,2.21
10/8/2017,5.00 PM,CCM DUOPHARMA BIOTECH BERHAD,MAIN MARKET,CONSUMER,7148,-0.01,-0.45,2.21,2.2,2.2,2.2
