DATE,TIME,COMPANY NAME,MARKET,SECTOR,STOCK CODE,CHANGE,PERCENTAGE CHANGE,LACP,OPEN,HIGH,LOW
9/20/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0.01,0.66,1.51,1.52,1.54,1.52
9/21/2017,5.00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0.03,1.97,1.52,1.53,1.56,1.53
9/22/2017,5.00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0.03,1.97,1.52,1.53,1.56,1.53
9/25/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0.04,2.58,1.55,1.59,1.61,1.57
9/26/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,-0.03,-1.89,1.59,1.56,1.62,1.56
9/27/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0.03,1.92,1.56,1.56,1.6,1.55
9/28/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0,0,1.57,1.61,1.64,1.61
9/29/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0,0,1.56,1.63,1.65,1.63
10/2/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0.1,6.1,1.64,1.64,1.77,1.64
10/3/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0.01,0.57,1.74,1.73,1.76,1.71
10/4/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0.08,4.57,1.75,1.74,1.85,1.74
10/5/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0.01,0.55,1.83,1.84,1.87,1.83
10/6/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0,0,1.84,1.84,1.87,1.83
10/9/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0,0,1.84,1.84,1.85,1.82
10/10/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,-0.03,-1.63,1.84,1.83,1.83,1.8
10/11/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,-0.02,-1.1,1.81,1.8,1.81,1.78
10/12/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,0,0,1.83,1.84,1.87,1.83
10/13/2017,5:00 PM,GUAN CHONG BERHAD,MAIN MARKET,CONSUMER,5102,-0.01,-0.56,1.79,1.79,1.79,1.76
