DATE,COMPANY NAME,MARKET,SECTOR,STOCK CODE,CHANGE,PERCENTAGE CHANGE,LACP,OPEN,HIGH,LOW
9/19/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,0,0,1.19,1.19,1.19,1.8
9/20/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,0.01,0.85,1.17,1.18,1.18,1.18
9/21/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,-0.02,-1.17,1.18,1.18,1.18,1.16
9/25/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,-0.02,-1.24,1.62,1.6,1.61,1.59
9/26/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,0,0,1.17,1.17,1.18,1.16
9/27/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,0,0,1.17,1.16,1.17,1.16
9/28/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,0,0,1.17,1.16,1.17,1.16
9/29/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,-0.01,-0.85,1.17,1.17,1.17,1.16
10/1/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,0,0,1.16,1.17,1.15,1.15
10/2/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,0,0,1.16,1.17,1.17,1.15
10/3/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,0,0,1.16,1.16,1.16,1.16
10/4/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,0,0,1.16,1.16,1.16,1.16
10/5/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,-0.01,-0.86,1.16,1.16,1.16,1.15
10/6/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,-0.01,-0.86,1.16,1.16,1.16,1.15
10/9/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,-0.01,-0.86,1.16,1.17,1.17,1.16
10/10/2017,HUP SENG INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,5024,0,0,1.16,1.17,1.16,1.15
