DATE,COMPANY NAME,MARKET,SECTOR,STOCK CODE,CHANGE,PERCENTAGE CHANGE,LACP,OPEN,HIGH,LOW
10/10/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,0.08,1.14,6.99,6.97,7.19,6.93
10/12/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,0.07,0.99,7.04,7.05,7.11,7.04
10/13/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,-0.04,-0.58,7.14,7.14,7.15,7.07
10/16/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,-0.04,-0.58,7.07,7.09,7.1,7.07
10/17/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,,,7,7,7.05,6.91
10/18/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,,,7.05,7.05,7.05,7.05
10/19/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,,,7.05,7.05,7.05,6.91
10/20/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,,,6.88,6.98,6.98,6.88
10/23/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,,,6.92,6.92,7.08,6.92
10/24/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,,,6.98,7.07,7.08,6.98
10/25/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,,,6.9,6.9,6.98,6.9
10/26/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,,,6.9,6.93,6.93,6.9
10/27/2017,MAGNI-TECH INDUSTRIES BERHAD,MAIN MARKET,CONSUMER,7087,,,6.9,6.9,6.94,6.9
