DATE,TIME,COMPANY NAME,MARKET,SECTOR,STOCK CODE,CHANGE,PERCENTAGE CHANGE,LACP,OPEN,HIGH,LOW
9/19/2017,5.00 PM,PPB GROUP BERHAD,MAIN MARKET,CONSUMER,4065,-0.02,-0.12,16.7,16.7,16.78,16.64
9/20/2017,5:00 PM,PPB GROUP BERHAD,MAIN MARKET,CONSUMER,4065,0.12,0.72,16.68,16.84,16.84,16.74
9/21/2017,5.00 PM,PPB GROUP BERHAD,MAIN MARKET,CONSUMER,4065,0.06,0.36,16.8,16.9,16.9,16.8
9/25/2017,5.00 PM,PPB GROUP BERHAD,MAIN MARKET,CONSUMER,4065,-0.02,-0.12,16.86,16.9,16.9,16.66
9/26/2017,5.00 PM,PPB GROUP BERHAD,MAIN MARKET,CONSUMER,4065,-0.04,-0.24,16.84,16.8,16.82,16.78
9/27/2017,5.00 PM,PPB GROUP BERHAD,MAIN MARKET,CONSUMER,4065,0.16,0.95,16.8,16.9,16.96,16.8
9/28/2017,5.00 PM,PPB GROUP BERHAD,MAIN MARKET,CONSUMER,4065,-0.12,-0.71,16.96,16.78,16.88,16.76
9/29/2017,5.00 PM,PPB GROUP BERHAD,MAIN MARKET,CONSUMER,4065,0.02,0.12,16.84,16.86,16.86,16.74
10/2/2017,5.00 PM,PPB GROUP BERHAD,MAIN MARKET,CONSUMER,4065,0.04,0.24,16.86,16.84,16.9,16.78
10/3/2017,5.00 PM,PPB GROUP BERHAD,MAIN MARKET,CONSUMER,4065,-0.08,-0.47,16.9,16.82,16.9,16.64
10/4/2017,5.00 PM,PPB GROUP BERHAD,MAIN MARKET,CONSUMER,4065,0,0,16.88,16.86,16.88,16.7
